tournament_id,match_date,match_number,winner_id,winner_name,loser_id,loser_name,winner_rank,loser_rank
2020-580,2020-01-20,100,104745,Rafael Nadal,106198,Hugo Dellien,1.0,73.0
2020-580,2020-01-20,101,105643,Federico Delbonis,105311,Joao Sousa,76.0,59.0
2020-580,2020-01-20,102,105376,Peter Gojowczyk,111153,Christopher Eubanks,120.0,221.0
2020-580,2020-01-20,103,105807,Pablo Carreno Busta,106075,Jozef Kovalik,30.0,139.0
2020-580,2020-01-20,104,106401,Nick Kyrgios,132283,Lorenzo Sonego,26.0,53.0
2020-580,2020-01-20,105,104468,Gilles Simon,104655,Pablo Cuevas,61.0,46.0
2020-580,2020-01-20,106,144707,Mikael Ymer,106034,Yasutaka Uchiyama,78.0,93.0
2020-580,2020-01-20,107,111575,Karen Khachanov,106408,Mario Vilella Martinez,17.0,196.0
2020-580,2020-01-20,108,104792,Gael Monfils,104229,Yen Hsun Lu,10.0,-1.0
2020-580,2020-01-20,109,103333,Ivo Karlovic,105577,Vasek Pospisil,124.0,138.0
2020-580,2020-01-20,110,105379,Aljaz Bedene,105902,James Duckworth,55.0,94.0
2020-580,2020-01-20,111,105208,Ernests Gulbis,200000,Felix Auger Aliassime,256.0,22.0
2020-580,2020-01-20,112,126203,Taylor Fritz,134868,Tallon Griekspoor,34.0,175.0
2020-580,2020-01-20,113,104731,Kevin Anderson,125802,Ilya Ivashka,122.0,149.0
2020-580,2020-01-20,114,106109,Alex Bolt,105077,Albert Ramos,140.0,42.0
2020-580,2020-01-20,115,106233,Dominic Thiem,105173,Adrian Mannarino,5.0,44.0
2020-580,2020-01-20,116,106421,Daniil Medvedev,126207,Frances Tiafoe,4.0,50.0
2020-580,2020-01-20,117,124079,Pedro Martinez,136440,Dominik Koepfer,168.0,89.0
2020-580,2020-01-20,118,144719,Jaume Munar,200384,Hugo Gaston,90.0,247.0
2020-580,2020-01-20,119,200615,Alexei Popyrin,104542,Jo-Wilfried Tsonga,96.0,33.0
2020-580,2020-01-20,120,104545,John Isner,106329,Thiago Monteiro,19.0,86.0
2020-580,2020-01-20,121,126214,Alejandro Tabilo,123755,Daniel Elahi Galan,208.0,186.0
2020-580,2020-01-20,122,104312,Andreas Seppi,200175,Miomir Kecmanovic,85.0,54.0
2020-580,2020-01-20,123,104527,Stan Wawrinka,106000,Damir Dzumhur,15.0,92.0
2020-580,2020-01-20,124,105676,David Goffin,104871,Jeremy Chardy,11.0,58.0
2020-580,2020-01-20,125,105732,Pierre Hugues Herbert,111815,Cameron Norrie,64.0,62.0
2020-580,2020-01-20,126,105216,Yuichi Sugita,200611,Elliot Benchetrit,91.0,231.0
2020-580,2020-01-20,127,126094,Andrey Rublev,106331,Christopher Oconnell,16.0,115.0
2020-580,2020-01-20,128,105932,Nikoloz Basilashvili,126952,Soon Woo Kwon,29.0,87.0
2020-580,2020-01-20,129,104269,Fernando Verdasco,105539,Evgeny Donskoy,51.0,106.0
2020-580,2020-01-20,130,106078,Egor Gerasimov,134770,Casper Ruud,98.0,48.0
2020-580,2020-01-20,131,100644,Alexander Zverev,106065,Marco Cecchinato,7.0,77.0
2020-580,2020-01-20,132,126610,Matteo Berrettini,106302,Andrew Harris,8.0,162.0
2020-580,2020-01-20,133,105815,Tennys Sandgren,105477,Marco Trungelliti,100.0,202.0
2020-580,2020-01-20,134,105575,Ricardas Berankis,106148,Roberto Carballes Baena,69.0,83.0
2020-580,2020-01-20,135,105023,Sam Querrey,106432,Borna Coric,45.0,28.0
2020-580,2020-01-20,136,105550,Guido Pella,105441,John Patrick Smith,25.0,308.0
2020-580,2020-01-20,137,106296,Gregoire Barrere,105633,Mohamed Safwat,84.0,173.0
2020-580,2020-01-20,138,111442,Jordan Thompson,122330,Alexander Bublik,66.0,56.0
2020-580,2020-01-20,139,104926,Fabio Fognini,124187,Reilly Opelka,12.0,38.0
2020-580,2020-01-20,140,105916,Marton Fucsovics,133430,Denis Shapovalov,67.0,13.0
2020-580,2020-01-20,141,206173,Jannik Sinner,126845,Max Purcell,82.0,216.0
2020-580,2020-01-20,142,126205,Tommy Paul,104919,Leonardo Mayer,80.0,101.0
2020-580,2020-01-20,143,105777,Grigor Dimitrov,106228,Juan Ignacio Londero,20.0,52.0
2020-580,2020-01-20,144,128034,Hubert Hurkacz,110602,Dennis Novak,31.0,99.0
2020-580,2020-01-20,145,105357,John Millman,200005,Ugo Humbert,47.0,43.0
2020-580,2020-01-20,146,105936,Filip Krajinovic,111460,Quentin Halys,41.0,215.0
2020-580,2020-01-20,147,103819,Roger Federer,105449,Steve Johnson,3.0,75.0
2020-580,2020-01-20,148,126774,Stefanos Tsitsipas,106099,Salvatore Caruso,6.0,95.0
2020-580,2020-01-20,149,104259,Philipp Kohlschreiber,106218,Marcos Giron,79.0,107.0
2020-580,2020-01-20,150,106426,Cristian Garin,105882,Stefano Travaglia,36.0,74.0
2020-580,2020-01-20,151,105683,Milos Raonic,105841,Lorenzo Giustino,35.0,150.0
2020-580,2020-01-20,152,105332,Benoit Paire,105649,Cedrik Marcel Stebe,21.0,154.0
2020-580,2020-01-20,153,105227,Marin Cilic,144895,Corentin Moutet,39.0,70.0
2020-580,2020-01-20,154,111581,Michael Mmoh,104665,Pablo Andujar,217.0,63.0
2020-580,2020-01-20,155,105138,Roberto Bautista Agut,103852,Feliciano Lopez,9.0,57.0
2020-580,2020-01-20,156,106043,Diego Schwartzman,144750,Lloyd Harris,14.0,72.0
2020-580,2020-01-20,157,200221,Alejandro Davidovich Fokina,105613,Norbert Gombos,88.0,113.0
